Name,Email,Password,Phone,Rating,Skills,ServiceArea
Vikram Pillai,vikram.pillai81@yahoo.co.in,service123,+91 9550675344,4.3,3,Delhi, Delhi
Rakesh Tiwari,rakesh.tiwari85@hotmail.com,skill123,+91 8643894992,4.1,4,Lucknow, Uttar Pradesh
Krishna Kapoor,krishna.kapoor84@hotmail.com,work123,+91 8843831302,4.9,3,Pune, Maharashtra
Ajay Mishra,ajay.mishra83@hotmail.com,help123,+91 9583577317,3.9,4,Chennai, Tamil Nadu
Rajesh Tiwari,rajesh.tiwari47@outlook.com,help123,+91 9207402740,4.2,2,Lucknow, Uttar Pradesh
Vikram Pillai,vikram.pillai97@rediffmail.com,pro123,+91 8732889263,4.4,3,Hyderabad, Telangana
Arjun Balasubramanian,arjun.balasubramanian67@outlook.com,work123,+91 8386885000,3.6,3,Bangalore, Karnataka
Ramesh Yadav,ramesh.yadav15@rediffmail.com,fix123,+91 8782661597,3.7,4,Hyderabad, Telangana
Vikram Patel,vikram.patel57@gmail.com,help123,+91 9785900583,4.6,2,Delhi, Delhi
Rahul Sharma,rahul.sharma20@gmail.com,work123,+91 9791928405,4.6,4,Bangalore, Karnataka
Pawan Kapoor,pawan.kapoor13@outlook.com,job123,+91 8229637297,4.9,2,Kolkata, West Bengal
Ashok Dubey,ashok.dubey94@hotmail.com,help123,+91 8268125295,4.5,4,Jaipur, Rajasthan
Vikram Kapoor,vikram.kapoor42@outlook.com,password123,+91 8525411876,4.3,4,Delhi, Delhi
Rakesh Iyengar,rakesh.iyengar44@rediffmail.com,work123,+91 9126594265,4.6,3,Ahmedabad, Gujarat
Mahesh Pandey,mahesh.pandey33@rediffmail.com,password123,+91 7943449172,4.5,3,Chennai, Tamil Nadu
Rohan Kaur,rohan.kaur77@yahoo.co.in,repair123,+91 7809093499,4.6,4,Lucknow, Uttar Pradesh
Ramesh Pillai,ramesh.pillai94@gmail.com,skill123,+91 8955192870,3.7,2,Ahmedabad, Gujarat
Amit Iyer,amit.iyer49@hotmail.com,help123,+91 9228578485,3.9,3,Jaipur, Rajasthan
Prakash Sharma,prakash.sharma10@rediffmail.com,pro123,+91 8341435852,4.2,2,Delhi, Delhi
Ramesh Jain,ramesh.jain90@outlook.com,repair123,+91 9986640004,4.9,3,Chennai, Tamil Nadu
Ramesh Joshi,ramesh.joshi70@yahoo.co.in,job123,+91 8798038973,3.9,4,Kolkata, West Bengal
Nitin Malhotra,nitin.malhotra85@yahoo.co.in,repair123,+91 9189713172,4,3,Pune, Maharashtra
Prakash Nair,prakash.nair40@yahoo.co.in,repair123,+91 9325173823,3.8,3,Mumbai, Maharashtra
Srinivas Desai,srinivas.desai31@rediffmail.com,fix123,+91 7767634983,4.6,4,Delhi, Delhi
Krishna Iyengar,krishna.iyengar94@rediffmail.com,pro123,+91 8116399886,4.7,3,Hyderabad, Telangana
Naresh Joshi,naresh.joshi46@gmail.com,service123,+91 8561108946,4,4,Delhi, Delhi
Vikas Malhotra,vikas.malhotra22@yahoo.co.in,fix123,+91 9130655674,4.2,2,Mumbai, Maharashtra
Mahesh Pandey,mahesh.pandey94@hotmail.com,service123,+91 8744181276,4.1,2,Chennai, Tamil Nadu
Rohan Iyer,rohan.iyer17@outlook.com,service123,+91 7966571345,3.7,3,Kolkata, West Bengal
Ashok Yadav,ashok.yadav60@rediffmail.com,job123,+91 8405059653,4,2,Pune, Maharashtra
Krishna Venkatesh,krishna.venkatesh85@yahoo.co.in,service123,+91 7498904408,4.2,2,Jaipur, Rajasthan
Suresh Pandey,suresh.pandey93@outlook.com,skill123,+91 7981637863,4.6,2,Delhi, Delhi
Ramesh Verma,ramesh.verma18@yahoo.co.in,fix123,+91 7411686767,4.8,3,Pune, Maharashtra
Sohan Kapoor,sohan.kapoor96@hotmail.com,repair123,+91 9981694330,4.6,3,Jaipur, Rajasthan
Girish Iyer,girish.iyer71@hotmail.com,pro123,+91 9102114415,3.7,3,Lucknow, Uttar Pradesh
Srinivas Kumar,srinivas.kumar39@gmail.com,fix123,+91 8928573905,4.2,4,Bangalore, Karnataka
Ravi Chatterjee,ravi.chatterjee97@gmail.com,service123,+91 9726938673,4.4,2,Mumbai, Maharashtra
Pradeep Kumar,pradeep.kumar24@rediffmail.com,work123,+91 7421933741,4.9,3,Kolkata, West Bengal
Arun Das,arun.das16@yahoo.co.in,provider123,+91 9725600973,4.8,3,Pune, Maharashtra
Ajay Pillai,ajay.pillai20@gmail.com,repair123,+91 9217850412,4.9,3,Lucknow, Uttar Pradesh
