Name,Email,Password,Phone,City,Rating
Suresh 1,suresh1@gmail.com,suresh123,+91 9876543201,Lucknow,4.2
Arun 2,arun2@gmail.com,arun123,+91 9876543202,Bangalore,3.5
Sanjay 3,sanjay3@gmail.com,sanjay123,+91 9876543203,Pune,4.2
Mukesh 4,mukesh4@gmail.com,mukesh123,+91 9876543204,Chennai,4.8
Mukesh 5,mukesh5@gmail.com,mukesh123,+91 9876543205,Jaipur,4
Prakash 6,prakash6@gmail.com,prakash123,+91 9876543206,Kolkata,3.6
Prakash 7,prakash7@gmail.com,prakash123,+91 9876543207,Mumbai,4.4
Ajay 8,ajay8@gmail.com,ajay123,+91 9876543208,Jaipur,3.7
Vijay 9,vijay9@gmail.com,vijay123,+91 9876543209,Jaipur,4.4
Rajeev 10,rajeev10@gmail.com,rajeev123,+91 9876543210,Lucknow,4.2
Vikas 11,vikas11@gmail.com,vikas123,+91 9876543211,Pune,3.6
Kumar 12,kumar12@gmail.com,kumar123,+91 9876543212,Ahmedabad,4.2
Ashok 13,ashok13@gmail.com,ashok123,+91 9876543213,Jaipur,4.8
Sanjay 14,sanjay14@gmail.com,sanjay123,+91 9876543214,Kolkata,4.9
Kumar 15,kumar15@gmail.com,kumar123,+91 9876543215,Chennai,4.7
Vijay 16,vijay16@gmail.com,vijay123,+91 9876543216,Chennai,4.7
Arjun 17,arjun17@gmail.com,arjun123,+91 9876543217,Pune,3.7
Vikram 18,vikram18@gmail.com,vikram123,+91 9876543218,Bangalore,3.6
Krishna 19,krishna19@gmail.com,krishna123,+91 9876543219,Hyderabad,4.2
Naresh 20,naresh20@gmail.com,naresh123,+91 9876543220,Hyderabad,4.1
Pradeep 21,pradeep21@gmail.com,pradeep123,+91 9876543221,Mumbai,3.8
Rahul 22,rahul22@gmail.com,rahul123,+91 9876543222,Kolkata,4.2
Rahul 23,rahul23@gmail.com,rahul123,+91 9876543223,Bangalore,4.7
Sunil 24,sunil24@gmail.com,sunil123,+91 9876543224,Lucknow,3.6
Mahesh 25,mahesh25@gmail.com,mahesh123,+91 9876543225,Pune,4.7
Rakesh 26,rakesh26@gmail.com,rakesh123,+91 9876543226,Jaipur,4
Ravi 27,ravi27@gmail.com,ravi123,+91 9876543227,Lucknow,4.5
Pradeep 28,pradeep28@gmail.com,pradeep123,+91 9876543228,Delhi,4.3
Krishna 29,krishna29@gmail.com,krishna123,+91 9876543229,Jaipur,4
Vikas 30,vikas30@gmail.com,vikas123,+91 9876543230,Lucknow,4.5
